
2023-07-16_20-23-49: cars 0, truck 0, bus 0, side: left
2023-07-16_20-23-49: cars 10, truck 3, bus 0, side: right
2023-07-16_20-28-52: cars 0, truck 0, bus 0, side: left
2023-07-16_20-28-52: cars 11, truck 3, bus 1, side: right
2023-07-16_20-33-54: cars 2, truck 0, bus 0, side: left
2023-07-16_20-33-54: cars 8, truck 3, bus 0, side: right
2023-07-16_20-38-56: cars 0, truck 0, bus 0, side: left
2023-07-16_20-38-56: cars 9, truck 1, bus 0, side: right
2023-07-16_20-43-58: cars 1, truck 0, bus 0, side: left
2023-07-16_20-43-58: cars 11, truck 1, bus 0, side: right
2023-07-16_20-49-00: cars 0, truck 0, bus 0, side: left
2023-07-16_20-49-00: cars 11, truck 2, bus 0, side: right
2023-07-16_20-54-01: cars 0, truck 0, bus 0, side: left
2023-07-16_20-54-01: cars 12, truck 1, bus 1, side: right
2023-07-16_20-59-04: cars 0, truck 0, bus 0, side: left
2023-07-16_20-59-04: cars 12, truck 2, bus 1, side: right
2023-07-16_21-04-07: cars 0, truck 0, bus 0, side: left
2023-07-16_21-04-07: cars 12, truck 2, bus 0, side: right
2023-07-16_21-09-09: cars 1, truck 0, bus 0, side: left
2023-07-16_21-09-09: cars 12, truck 3, bus 1, side: right
2023-07-16_21-14-11: cars 0, truck 0, bus 0, side: left
2023-07-16_21-14-11: cars 10, truck 1, bus 0, side: right
2023-07-16_21-19-13: cars 0, truck 0, bus 0, side: left
2023-07-16_21-19-13: cars 9, truck 1, bus 0, side: right
2023-07-16_21-24-16: cars 1, truck 0, bus 0, side: left
2023-07-16_21-24-16: cars 10, truck 1, bus 0, side: right
2023-07-16_21-29-18: cars 0, truck 0, bus 0, side: left
2023-07-16_21-29-18: cars 8, truck 1, bus 0, side: right
2023-07-16_21-34-20: cars 0, truck 0, bus 0, side: left
2023-07-16_21-34-20: cars 7, truck 1, bus 0, side: right
2023-07-16_21-39-22: cars 1, truck 0, bus 0, side: left
2023-07-16_21-39-22: cars 10, truck 1, bus 0, side: right
2023-07-16_21-44-25: cars 0, truck 0, bus 0, side: left
2023-07-16_21-44-25: cars 12, truck 1, bus 0, side: right
2023-07-16_21-49-27: cars 0, truck 0, bus 0, side: left
2023-07-16_21-49-27: cars 7, truck 1, bus 0, side: right
2023-07-16_21-54-29: cars 0, truck 0, bus 0, side: left
2023-07-16_21-54-29: cars 11, truck 1, bus 0, side: right
2023-07-16_21-59-32: cars 0, truck 0, bus 0, side: left
2023-07-16_21-59-32: cars 7, truck 1, bus 0, side: right
2023-07-16_22-04-34: cars 0, truck 1, bus 0, side: left
2023-07-16_22-04-34: cars 9, truck 1, bus 0, side: right
