(541, 'car', 'left')
(542, 'car', 'left')
(543, 'car', 'right')
(544, 'car', 'right')
(545, 'car', 'right')
(546, 'car', 'right')
(547, 'car', 'right')
(548, 'car', 'right')
(549, 'truck', 'right')
(550, 'car', 'right')
(551, 'car', 'right')
(552, 'car', 'right')
(553, 'car', 'right')
(554, 'truck', 'right')
(555, 'car', 'right')
(556, 'car', 'right')
(557, 'car', 'right')
(558, 'car', 'right')
(559, 'car', 'right')
(560, 'truck', 'right')
(561, 'car', 'right')
(562, 'car', 'left')
(563, 'car', 'left')
(564, 'car', 'left')
(565, 'car', 'right')
(566, 'car', 'right')
(567, 'car', 'right')
(568, 'car', 'right')
(569, 'car', 'right')
(570, 'car', 'right')
(571, 'truck', 'right')
(572, 'car', 'right')
(573, 'car', 'right')
(574, 'car', 'right')
(575, 'car', 'right')
(576, 'truck', 'right')
(577, 'car', 'right')
(578, 'car', 'right')
(579, 'car', 'right')
(580, 'car', 'right')
(581, 'car', 'right')
(582, 'truck', 'right')
(583, 'car', 'right')
(584, 'car', 'left')
(585, 'car', 'left')
(586, 'car', 'left')
(587, 'car', 'right')
(588, 'car', 'right')
(589, 'car', 'right')
(590, 'car', 'right')
(591, 'car', 'right')
(592, 'car', 'right')
(593, 'truck', 'right')
(594, 'car', 'right')
(595, 'car', 'right')
(596, 'car', 'right')
(597, 'car', 'right')
(598, 'truck', 'right')
(599, 'car', 'right')
(600, 'car', 'right')
(601, 'car', 'right')
(602, 'car', 'right')
(603, 'car', 'right')
(604, 'truck', 'right')
(605, 'car', 'right')
(606, 'car', 'left')
(607, 'car', 'left')
(608, 'car', 'left')
(609, 'car', 'right')
(610, 'car', 'right')
(611, 'car', 'right')
(612, 'car', 'right')
(613, 'car', 'right')
(614, 'car', 'right')
(615, 'truck', 'right')
(616, 'car', 'right')
(617, 'car', 'right')
(618, 'car', 'right')
(619, 'car', 'right')
(620, 'truck', 'right')
(621, 'car', 'right')
(622, 'car', 'right')
(623, 'car', 'right')
(624, 'car', 'right')
(625, 'car', 'right')
(626, 'truck', 'right')
(627, 'car', 'right')
(628, 'car', 'left')
(629, 'car', 'left')
(630, 'car', 'left')
(631, 'car', 'right')
(632, 'car', 'right')
(633, 'car', 'right')
(634, 'car', 'right')
(635, 'car', 'right')
(636, 'car', 'right')
(637, 'truck', 'right')
(638, 'car', 'right')
(639, 'car', 'right')
(640, 'car', 'right')
(641, 'car', 'right')
(642, 'truck', 'right')
(643, 'car', 'right')
(644, 'car', 'right')
(645, 'car', 'right')
(646, 'car', 'right')
(647, 'car', 'right')
(648, 'truck', 'right')
(649, 'car', 'right')
(650, 'car', 'left')
(651, 'car', 'right')
(652, 'car', 'right')
(653, 'car', 'right')
(654, 'car', 'right')
(655, 'car', 'right')
(656, 'car', 'right')
(657, 'truck', 'right')
(658, 'car', 'right')
(659, 'car', 'right')
(660, 'car', 'right')
(661, 'car', 'right')
(662, 'truck', 'right')
(663, 'car', 'right')
(664, 'car', 'right')
(665, 'car', 'right')
(666, 'car', 'right')
(667, 'car', 'right')
(668, 'truck', 'right')
(669, 'car', 'right')
(670, 'car', 'left')
(671, 'car', 'right')
(672, 'car', 'right')
(673, 'car', 'right')
(674, 'car', 'right')
(675, 'car', 'right')
(676, 'car', 'right')
(677, 'truck', 'right')
(678, 'car', 'right')
(679, 'car', 'right')
(680, 'car', 'right')
(681, 'car', 'right')
(682, 'truck', 'right')
(683, 'car', 'right')
(684, 'car', 'right')
(685, 'car', 'right')
(686, 'car', 'right')
(687, 'car', 'right')
(688, 'truck', 'right')
(689, 'car', 'right')
(690, 'car', 'left')
(691, 'car', 'left')
(692, 'car', 'left')
(693, 'car', 'right')
(694, 'car', 'right')
(695, 'car', 'right')
(696, 'car', 'right')
(697, 'car', 'right')
(698, 'car', 'right')
(699, 'truck', 'right')
(700, 'car', 'right')
(701, 'car', 'right')
(702, 'car', 'right')
(703, 'car', 'right')
(704, 'truck', 'right')
(705, 'car', 'right')
(706, 'car', 'right')
(707, 'car', 'right')
(708, 'car', 'right')
(709, 'car', 'right')
(710, 'truck', 'right')
(711, 'car', 'right')
(712, 'car', 'left')
(713, 'car', 'left')
(714, 'truck', 'left')
(715, 'car', 'right')
(716, 'car', 'right')
(717, 'car', 'right')
(718, 'truck', 'right')
(719, 'car', 'right')
(720, 'car', 'right')
(721, 'truck', 'right')
(722, 'car', 'left')
(723, 'car', 'right')
(724, 'car', 'right')
(725, 'car', 'right')
(726, 'car', 'right')
(727, 'car', 'right')
(728, 'car', 'right')
(729, 'truck', 'right')
(730, 'car', 'right')
(731, 'car', 'right')
(732, 'car', 'right')
(733, 'car', 'right')
(734, 'truck', 'right')
(735, 'car', 'right')
(736, 'car', 'right')
(737, 'car', 'right')
(738, 'car', 'right')
(739, 'car', 'right')
(740, 'truck', 'right')
(741, 'car', 'right')
(742, 'car', 'left')
(743, 'car', 'left')
(744, 'truck', 'left')
(745, 'car', 'right')
(746, 'car', 'right')
(747, 'car', 'right')
(748, 'truck', 'right')
(749, 'car', 'right')
(750, 'car', 'right')
(751, 'truck', 'right')
(752, 'car', 'left')
(753, 'car', 'right')
(754, 'car', 'right')
(755, 'car', 'right')
(756, 'car', 'right')
(757, 'car', 'right')
(758, 'car', 'right')
(759, 'truck', 'right')
(760, 'car', 'right')
(761, 'car', 'right')
(762, 'car', 'right')
(763, 'car', 'right')
(764, 'truck', 'right')
(765, 'car', 'right')
(766, 'car', 'right')
(767, 'car', 'right')
(768, 'car', 'right')
(769, 'car', 'right')
(770, 'truck', 'right')
(771, 'car', 'right')
(772, 'car', 'left')
(773, 'car', 'left')
(774, 'truck', 'left')
(775, 'car', 'right')
(776, 'car', 'right')
(777, 'car', 'right')
(778, 'truck', 'right')
(779, 'car', 'right')
(780, 'car', 'right')
(781, 'truck', 'right')
(782, 'car', 'left')
(783, 'car', 'right')
(784, 'car', 'right')
(785, 'car', 'right')
(786, 'car', 'right')
(787, 'car', 'right')
(788, 'car', 'right')
(789, 'truck', 'right')
(790, 'car', 'right')
(791, 'car', 'right')
(792, 'car', 'right')
(793, 'car', 'right')
(794, 'truck', 'right')
(795, 'car', 'right')
(796, 'car', 'right')
(797, 'car', 'right')
(798, 'car', 'right')
(799, 'car', 'right')
(800, 'truck', 'right')
(801, 'car', 'right')
(802, 'car', 'left')
(803, 'car', 'left')
(804, 'truck', 'left')
(805, 'car', 'right')
(806, 'car', 'right')
(807, 'car', 'right')
(808, 'truck', 'right')
(809, 'car', 'right')
(810, 'car', 'right')
(811, 'truck', 'right')
(812, 'car', 'left')
(813, 'car', 'right')
(814, 'car', 'right')
(815, 'car', 'right')
(816, 'car', 'right')
(817, 'car', 'right')
(818, 'car', 'right')
(819, 'truck', 'right')
(820, 'car', 'right')
(821, 'car', 'right')
